,country,year,co2,co2_per_capita,population,Deaths - Cause: All causes - Risk: Outdoor air pollution - OWID - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: High systolic blood pressure - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet high in sodium - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet low in whole grains - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Alcohol use - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet low in fruits - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Unsafe water source - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Secondhand smoke - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Low birth weight - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Child wasting - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Unsafe sex - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet low in nuts and seeds - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Household air pollution from solid fuels - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Diet low in vegetables - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Low physical activity - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Smoking - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: High fasting plasma glucose - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: High body-mass index - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Unsafe sanitation - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: No access to handwashing facility - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Drug use - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Low bone mineral density - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Vitamin A deficiency - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Child stunting - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Discontinued breastfeeding - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Non-exclusive breastfeeding - Sex: Both - Age: All Ages (Number),Deaths - Cause: All causes - Risk: Iron deficiency - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Outdoor air pollution - OWID - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: High systolic blood pressure - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Diet high in sodium - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Diet low in whole grains - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Alcohol use - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Diet low in fruits - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Unsafe water source - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Secondhand smoke - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Low birth weight - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Child wasting - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Unsafe sex - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Diet low in nuts and seeds - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Household air pollution from solid fuels - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Diet low in vegetables - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Low physical activity - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Smoking - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: High fasting plasma glucose - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: High body-mass index - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Unsafe sanitation - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: No access to handwashing facility - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Drug use - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Low bone mineral density - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Vitamin A deficiency - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Child stunting - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Discontinued breastfeeding - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Non-exclusive breastfeeding - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Iron deficiency - Sex: Both - Age: All Ages (Number)
188,Africa,2000,886.562,1.094,810984230.0,226947.0,682376.0,62244.0,105149.0,225156.0,67131.0,848137.0,88442.0,816084.0,1231171.0,1057770.0,30317.0,889539.0,52147.0,49463.0,299641.0,344417.0,1114339.0,288170.0,632245.0,504676.0,43881.0,23007.0,93922.0,304325.0,10621.0,184722.0,23325.0,27.98414464853404,84.14171012918463,7.675118417530757,12.965603535841874,27.763301883194448,8.277719530995073,104.58119512385586,10.905514155312243,100.62883713534109,151.81195323613136,130.43040306714718,3.7382971059745516,109.6863498813041,6.430088042525808,6.099132161916391,36.947820797945724,42.469013238395526,137.4057544867426,35.53336665991643,77.96020891799586,62.230063339209444,5.410832711259996,2.8369232284578456,11.5812362960498,37.525390598532354,1.3096432220389784,22.777508263015175,2.876134841734222
189,Africa,2001,884.168,1.064,830902539.0,233898.0,698265.0,62552.0,107585.0,226575.0,67463.0,833377.0,88883.0,821293.0,1200953.0,1126122.0,30387.0,882921.0,52181.0,51067.0,302206.0,354768.0,1115183.0,299217.0,620932.0,497555.0,47061.0,23287.0,89200.0,293221.0,10022.0,181483.0,23638.0,28.149871858798107,84.0369317971238,7.528199405345662,12.94796861849522,27.26854105809875,8.11924345317231,100.29780400033174,10.697163124206076,98.84348181056646,144.5359646445851,135.52997459308523,3.6571076117508405,106.26047683794596,6.280038578628052,6.145967499564953,36.37081195632259,42.69670428820292,134.2134543651936,36.01108264275023,74.72982339749475,59.881270864668764,5.663841159594772,2.8026150970757837,10.73531440972044,35.28945769655423,1.2061583073342854,21.841671132503304,2.8448583185759166
190,Africa,2002,892.575,1.049,851298437.0,240765.0,717423.0,63305.0,110238.0,229622.0,68192.0,813565.0,89407.0,825997.0,1171262.0,1182865.0,30607.0,878204.0,52566.0,52933.0,305392.0,368000.0,1117536.0,311083.0,605529.0,489551.0,49774.0,24045.0,83154.0,280569.0,9669.0,177358.0,24129.0,28.282091160470436,84.27397124423476,7.436287587122634,12.949395324685648,26.973149487880477,8.010351838576206,95.56754301899417,10.502427364376802,97.0279004517895,137.58535774217566,138.94833451926095,3.595331398452926,103.16053240915323,6.174802832393782,6.217913448371572,35.87367093920789,43.228083596258266,131.27429247235892,36.542179155909814,71.13004954336596,57.50639008867345,5.846833241630867,2.8245088860652987,9.767902346095815,32.95777224597442,1.1357944029679923,20.833821876264057,2.834376166016619
191,Africa,2003,967.22,1.109,872248336.0,248444.0,736899.0,64017.0,113139.0,233684.0,68938.0,789867.0,89876.0,831204.0,1134437.0,1226124.0,30986.0,869992.0,52974.0,54938.0,309925.0,381886.0,1116622.0,324193.0,587538.0,478995.0,51913.0,24435.0,77739.0,267784.0,9353.0,172595.0,24711.0,28.483172709658227,84.48270631037352,7.339308928185791,12.97096197613153,26.790994073045727,7.903483119972384,90.55528883233089,10.303946283481359,95.29442083108772,130.05894688230165,140.5705175228904,3.552428674395316,99.74131954090652,6.073270399451928,6.298435632670556,35.5317387501442,43.781797481124684,128.01652395471007,37.16751143220295,67.35902789959579,54.91498008429563,5.951630729164268,2.8013810965871535,8.912484758239769,30.70043116711661,1.0722863677667136,19.787369362204206,2.8330234613368184
192,Africa,2004,1036.686,1.16,893842786.0,253462.0,749757.0,64592.0,114756.0,236325.0,69273.0,767564.0,89708.0,834472.0,1097148.0,1246894.0,30958.0,860568.0,53194.0,55886.0,310778.0,393002.0,1111629.0,333532.0,570357.0,468700.0,53030.0,24824.0,71248.0,253476.0,8993.0,167680.0,25187.0,28.356440748854464,83.88018695717257,7.226326711104654,12.838499319722652,26.43921321528683,7.750020594784999,85.8723717439053,10.036216816320538,93.35780442266723,122.7450752172877,139.49813317618475,3.46347260221665,96.27733349519923,5.951158395319868,6.252329925947403,34.76875406588559,43.967687176702235,124.36515877412921,37.314391884570185,63.809543348487686,52.43651426639136,5.932810649769007,2.777222168015573,7.97097667687615,28.35800701981612,1.0061053398712556,18.75945106078196,2.8178333365214403
193,Africa,2005,1057.342,1.155,916154285.0,258604.0,760736.0,64896.0,116061.0,237371.0,69468.0,750806.0,89521.0,838733.0,1065486.0,1234492.0,30929.0,851964.0,53282.0,56693.0,310668.0,403499.0,1107553.0,342442.0,557613.0,460382.0,52945.0,25220.0,63984.0,240288.0,8736.0,163506.0,25393.0,28.22712333872891,83.0357956574967,7.083523055289755,12.66828108542875,25.909500603383634,7.582565637402439,81.95191708348555,9.771389106148208,91.54931802780358,116.2998435356333,134.7471730703088,3.375959759878217,92.99350709253082,5.815832646572187,6.188149848581454,33.9100089457094,44.04269090986132,120.89153738990589,37.37820207870337,60.86453003928263,50.25157962340372,5.7790484492467336,2.7528114437624445,6.98397650347725,26.227896756494456,0.9535511805197745,17.846993970016744,2.771694726068983
194,Africa,2006,1090.195,1.161,939210049.0,267694.0,778480.0,65748.0,118232.0,239400.0,70135.0,748529.0,90175.0,839753.0,1034821.0,1189515.0,31201.0,847223.0,53694.0,58036.0,313606.0,418098.0,1110975.0,355115.0,555461.0,459194.0,51650.0,25899.0,54398.0,221782.0,8861.0,161784.0,25520.0,28.502037460631986,82.88667703554351,7.00035099390211,12.58845134013254,25.489505809152604,7.467445655492555,79.69772052556051,9.601153660569489,89.41056379178498,110.17993271066459,126.65058271751944,3.322047079161948,90.20591303319839,5.716932017195655,6.179235418295657,33.39040083034716,44.51592063406468,118.28823607486763,37.80996597918641,59.14129651736722,48.891512658847205,5.499302318474236,2.7575301209325116,5.79188862575724,23.613674090916803,0.9434524267957445,17.225539715237865,2.7171770603574537
195,Africa,2007,1132.293,1.176,963021837.0,274436.0,793403.0,66238.0,119983.0,240343.0,70377.0,734495.0,90165.0,839376.0,1000775.0,1119452.0,31294.0,837341.0,53886.0,59173.0,314102.0,431108.0,1107647.0,365623.0,544629.0,452007.0,49733.0,26118.0,48491.0,207863.0,9091.0,157468.0,25481.0,28.497380791999632,82.38681300017083,6.87814101976589,12.45901135261588,24.95717031180883,7.307933973671669,76.269817752845,9.362716039844068,87.16064036666283,103.92028109327286,116.2436776602398,3.249562865312264,86.94932636299087,5.595511745389425,6.144512795715555,32.61629050681641,44.76617075922028,115.01784875933193,37.96622111280328,56.554169290348085,46.936318849018996,5.164265034210226,2.7120880333682402,5.035295996096919,21.58445343747693,0.9440076694751003,16.35144645219504,2.645942077427679
196,Africa,2008,1181.391,1.197,987623519.0,282637.0,814663.0,67286.0,122736.0,241809.0,71150.0,715541.0,90566.0,835684.0,965086.0,1039047.0,31681.0,824671.0,54415.0,60936.0,316878.0,447922.0,1103455.0,379548.0,529782.0,441685.0,47553.0,26627.0,45850.0,198827.0,9261.0,152440.0,25297.0,28.617888756454374,82.48720127937739,6.81291997462041,12.427407573715342,24.48392483046974,7.204162176295845,72.45078577356156,9.170093487820232,84.6156439091443,97.71800503264443,105.20678983546969,3.2078012917389827,83.50054288247463,5.509690580789014,6.169962422695201,32.08489813211911,45.35351694069975,111.72830322198918,38.430433530410895,53.64210043685685,44.72200099560407,4.814891412078655,2.696067832301187,4.642457284373358,20.13186160261945,0.93770549423297,15.435031372516354,2.5614011324491353
197,Africa,2009,1191.035,1.176,1013045724.0,292369.0,837612.0,68467.0,125854.0,244556.0,72167.0,700251.0,91324.0,831030.0,933101.0,969772.0,32162.0,813248.0,55090.0,62883.0,320916.0,465638.0,1102189.0,395959.0,517527.0,433442.0,45236.0,27248.0,42985.0,189108.0,9231.0,147516.0,25275.0,28.860395249049983,82.68254632107801,6.75853008190576,12.423328682842355,24.14066751443097,7.123765323745643,69.12333603611361,9.014795466428522,82.0328224395131,92.10847821514521,95.72835431068854,3.174782661636307,80.27752160967613,5.438056614313294,6.207321003410109,31.678333208185975,45.964164199956684,108.79953134277285,39.08599489829148,51.086242973964715,42.78602532258455,4.465346324288912,2.6897107755819323,4.24314510013173,18.667271922663975,0.9112125722767475,14.561632955473588,2.494951550676502
198,Africa,2010,1218.023,1.172,1039304030.0,301219.0,856582.0,69486.0,128494.0,246609.0,73103.0,679174.0,91675.0,823970.0,910409.0,916105.0,32578.0,800351.0,55734.0,64626.0,323620.0,480836.0,1098472.0,411003.0,500574.0,422819.0,43679.0,27750.0,41180.0,181689.0,8997.0,141925.0,25111.0,28.982760703814456,82.41880867141447,6.685820317660079,12.36346596289057,23.728282858674184,7.0338416757606534,65.34892393325944,8.820806746992023,79.28093957260995,87.59794763809393,88.14600670796975,3.1345976787947216,77.00836106639555,5.362627141934588,6.218199692730913,31.13814539908981,46.2651915243704,105.69303767637656,39.54598347896332,48.16434705829054,40.6828981506018,4.202716311991979,2.670056037404185,3.9622669412722282,17.481795004682123,0.8656754655324488,13.655773084994197,2.4161361137029362
199,Africa,2011,1258.709,1.181,1066409711.0,311465.0,874333.0,70786.0,131185.0,247571.0,74160.0,656814.0,91800.0,815611.0,884901.0,865544.0,32981.0,786661.0,56617.0,66092.0,326663.0,494603.0,1094896.0,424845.0,482341.0,411539.0,42531.0,28414.0,40450.0,177671.0,8908.0,136072.0,24956.0,29.206879568635138,81.98846943920975,6.63778651580565,12.301557145141189,23.215373739221324,6.9541752325621875,61.59114955771441,8.608323710210476,76.48195544235811,82.97945816436774,81.16430215065812,3.09271377218357,73.76723897819043,5.309122696089177,6.197617980993798,30.632035382881092,46.38020405273672,102.6712330829478,39.83881575887112,45.2303645610744,38.59107768383779,3.988242001295879,2.66445435623007,3.7931012426798874,16.66066973765583,0.8353262266944979,12.759823789714158,2.3401887419609215
